,time,open,high,low,close,tick_volume,spread,real_volume
0,11/06/2004 07:18,384,384.1,384,384,3,0,0
1,11/06/2004 07:23,384.1,384.1,384,384,2,0,0
2,11/06/2004 07:24,383.8,383.8,383.8,383.8,1,0,0
3,11/06/2004 07:25,383.8,384.3,383.8,384.3,3,0,0
4,11/06/2004 07:27,383.8,383.8,383.8,383.8,1,0,0
5,11/06/2004 07:28,383.8,383.8,383.8,383.8,1,0,0
6,11/06/2004 07:29,384.3,384.3,384.3,384.3,1,0,0
7,11/06/2004 07:31,383.8,383.8,383.8,383.8,1,0,0
8,11/06/2004 07:32,383.8,383.8,383.8,383.8,1,0,0
9,11/06/2004 07:35,383.8,383.8,383.8,383.8,1,0,0
10,11/06/2004 07:37,384.3,384.3,384.3,384.3,1,0,0
11,11/06/2004 07:38,383.8,383.8,383.6,383.6,2,0,0
12,11/06/2004 07:39,384.1,384.1,383.8,383.8,2,0,0
13,11/06/2004 07:41,384.1,384.1,384.1,384.1,1,0,0
14,11/06/2004 07:42,383.6,383.6,383.6,383.6,2,0,0
15,11/06/2004 07:43,383.6,383.6,383.6,383.6,1,0,0
16,11/06/2004 07:44,383.8,383.8,383.8,383.8,1,0,0
17,11/06/2004 07:45,383.3,383.3,383.3,383.3,1,0,0
18,11/06/2004 07:46,383.3,383.3,383.3,383.3,1,0,0
19,11/06/2004 07:47,383.5,383.5,383.5,383.5,1,0,0
20,11/06/2004 07:48,383.3,383.3,383.3,383.3,1,0,0
21,11/06/2004 07:49,383.3,383.3,383.3,383.3,2,0,0
22,11/06/2004 07:50,383.3,383.3,383.3,383.3,2,0,0
23,11/06/2004 07:51,383.5,383.5,383.3,383.3,2,0,0
24,11/06/2004 07:52,383.6,383.6,383.6,383.6,1,0,0
25,11/06/2004 07:53,383.8,383.8,383.8,383.8,1,0,0
26,11/06/2004 07:54,383.6,383.6,383.5,383.5,2,0,0
27,11/06/2004 07:56,383.6,383.6,383.5,383.5,2,0,0
28,11/06/2004 07:58,383.8,383.8,383.6,383.6,5,0,0
29,11/06/2004 07:59,383.8,383.8,383.8,383.8,1,0,0
30,11/06/2004 08:00,383.8,383.8,383.8,383.8,1,0,0
31,11/06/2004 08:03,383.8,384.1,383.8,384.1,2,0,0
32,11/06/2004 08:04,383.8,383.8,383.6,383.6,3,0,0
33,11/06/2004 08:11,384.1,384.1,384.1,384.1,1,0,0
34,11/06/2004 08:12,383.6,383.6,383.6,383.6,1,0,0
35,11/06/2004 08:15,383.6,383.8,383.6,383.8,3,0,0
36,11/06/2004 08:16,383.6,383.6,383.6,383.6,1,0,0
37,11/06/2004 08:17,383.6,384.3,383.6,384.3,2,0,0
38,11/06/2004 08:18,383.8,383.8,383.8,383.8,1,0,0
39,11/06/2004 08:19,383.6,383.8,383.6,383.8,2,0,0
40,11/06/2004 08:20,383.6,383.8,383.6,383.8,2,0,0
41,11/06/2004 08:22,384.1,384.1,384.1,384.1,1,0,0
42,11/06/2004 08:23,383.6,383.6,383.6,383.6,2,0,0
43,11/06/2004 08:24,383.5,384,383.5,384,3,0,0
44,11/06/2004 08:25,383.6,383.6,383.6,383.6,1,0,0
45,11/06/2004 08:26,383.5,383.6,383.5,383.6,2,0,0
46,11/06/2004 08:29,383.5,383.5,383.5,383.5,1,0,0
47,11/06/2004 08:32,383.3,383.3,383.3,383.3,1,0,0
48,11/06/2004 08:33,383.5,383.5,383.5,383.5,1,0,0
49,11/06/2004 08:34,383.3,383.5,383.3,383.5,2,0,0
50,11/06/2004 08:37,383.5,383.5,383.5,383.5,1,0,0
51,11/06/2004 08:39,383.5,383.5,383.5,383.5,1,0,0
52,11/06/2004 08:41,383.5,383.5,383.5,383.5,1,0,0
53,11/06/2004 08:45,383.3,383.3,383.3,383.3,1,0,0
54,11/06/2004 08:48,383.3,383.3,383.3,383.3,2,0,0
55,11/06/2004 08:50,383.1,383.1,383.1,383.1,1,0,0
56,11/06/2004 08:53,383.1,383.1,383.1,383.1,2,0,0
57,11/06/2004 08:54,383.1,383.1,383.1,383.1,1,0,0
58,11/06/2004 08:58,383.1,383.1,383.1,383.1,1,0,0
59,11/06/2004 09:01,383.1,383.1,383.1,383.1,1,0,0
60,11/06/2004 09:07,383.5,383.5,383.5,383.5,1,0,0
61,11/06/2004 09:08,383.8,383.8,383.6,383.8,3,0,0
62,11/06/2004 09:09,383.8,383.8,383.8,383.8,2,0,0
63,11/06/2004 09:12,383.8,384.1,383.6,383.6,3,0,0
64,11/06/2004 09:16,383.8,383.8,383.8,383.8,1,0,0
65,11/06/2004 09:18,384,384,384,384,1,0,0
66,11/06/2004 09:19,383.8,384,383.8,383.8,3,0,0
67,11/06/2004 09:20,383.6,383.6,383.6,383.6,1,0,0
68,11/06/2004 09:21,383.6,383.6,383.6,383.6,1,0,0
69,11/06/2004 09:24,383.1,383.1,383.1,383.1,1,0,0
70,11/06/2004 09:25,382.8,383.1,382.8,383,3,0,0
71,11/06/2004 09:26,382.8,382.8,382.8,382.8,1,0,0
72,11/06/2004 09:28,383,383,383,383,1,0,0
73,11/06/2004 09:29,382.8,383,382.8,383,2,0,0
74,11/06/2004 09:30,383.1,383.3,383.1,383.1,4,0,0
75,11/06/2004 09:31,383.1,383.1,383.1,383.1,1,0,0
76,11/06/2004 09:32,383,383,383,383,1,0,0
77,11/06/2004 09:33,383.1,383.1,383.1,383.1,2,0,0
78,11/06/2004 09:34,383,383,382.8,382.8,2,0,0
79,11/06/2004 09:35,382.8,382.8,382.8,382.8,1,0,0
80,11/06/2004 09:37,382.8,382.8,382.8,382.8,1,0,0
81,11/06/2004 09:38,382.8,382.8,382.8,382.8,1,0,0
82,11/06/2004 09:39,382.8,383.1,382.8,383.1,3,0,0
83,11/06/2004 09:40,383,383,383,383,1,0,0
84,11/06/2004 09:41,382.8,383,382.8,383,2,0,0
85,11/06/2004 09:42,382.8,383,382.8,383,2,0,0
86,11/06/2004 09:45,383,383,383,383,1,0,0
87,11/06/2004 09:48,383.1,383.1,383.1,383.1,1,0,0
88,11/06/2004 09:51,383,383.1,383,383.1,2,0,0
89,11/06/2004 09:54,382.8,383,382.8,383,2,0,0
90,11/06/2004 09:55,383.1,383.3,383.1,383.1,3,0,0
91,11/06/2004 09:59,383,383.1,383,383.1,2,0,0
92,11/06/2004 10:02,383,383,383,383,1,0,0
93,11/06/2004 10:03,383.1,383.1,383.1,383.1,1,0,0
94,11/06/2004 10:04,383.3,383.3,383.3,383.3,1,0,0
95,11/06/2004 10:07,383.3,383.3,383.3,383.3,1,0,0
96,11/06/2004 10:10,383.3,383.3,383.1,383.1,2,0,0
97,11/06/2004 10:11,383.3,383.3,383.3,383.3,3,0,0
98,11/06/2004 10:12,383.6,383.6,383.6,383.6,3,0,0
99,11/06/2004 10:13,383.5,383.6,383.5,383.6,2,0,0
100,11/06/2004 10:16,383.6,383.6,383.6,383.6,1,0,0
101,11/06/2004 10:27,383.6,383.6,383.6,383.6,1,0,0
102,11/06/2004 10:31,383.6,383.6,383.6,383.6,2,0,0
103,11/06/2004 10:32,383.6,383.6,383.6,383.6,1,0,0
104,11/06/2004 10:33,383.8,383.8,383.6,383.6,2,0,0
105,11/06/2004 10:34,383.5,383.5,383.5,383.5,1,0,0
106,11/06/2004 10:37,383.6,383.6,383.5,383.5,2,0,0
107,11/06/2004 10:38,383.6,383.6,383.5,383.6,3,0,0
108,11/06/2004 10:46,383.6,383.6,383.6,383.6,2,0,0
109,11/06/2004 10:47,383.6,383.6,383.6,383.6,1,0,0
110,11/06/2004 10:49,383.6,383.8,383.6,383.8,4,0,0
111,11/06/2004 10:50,383.6,383.6,383.6,383.6,1,0,0
112,11/06/2004 10:51,383.8,383.8,383.8,383.8,1,0,0
113,11/06/2004 10:53,383.8,383.8,383.8,383.8,1,0,0
114,11/06/2004 10:56,383.6,383.6,383.6,383.6,1,0,0
115,11/06/2004 10:58,383.6,383.6,383.6,383.6,2,0,0
116,11/06/2004 11:02,383.6,383.6,383.5,383.6,3,0,0
117,11/06/2004 11:04,383.6,383.6,383.6,383.6,1,0,0
118,11/06/2004 11:05,383.5,383.6,383.5,383.6,2,0,0
119,11/06/2004 11:08,383.6,383.6,383.6,383.6,1,0,0
120,11/06/2004 11:10,383.6,383.6,383.6,383.6,1,0,0
121,11/06/2004 11:15,383.6,383.6,383.6,383.6,1,0,0
122,11/06/2004 11:19,383.6,383.6,383.6,383.6,2,0,0
123,11/06/2004 11:20,383.6,383.6,383.6,383.6,2,0,0
124,11/06/2004 11:27,383.6,383.6,383.6,383.6,2,0,0
125,11/06/2004 11:30,383.6,383.6,383.6,383.6,1,0,0
126,11/06/2004 11:31,383.6,383.6,383.6,383.6,1,0,0
127,11/06/2004 11:34,383.6,383.6,383.6,383.6,2,0,0
128,11/06/2004 11:38,383.6,383.6,383.6,383.6,1,0,0
129,11/06/2004 11:41,383.6,383.6,383.6,383.6,1,0,0
130,11/06/2004 11:45,383.6,383.6,383.6,383.6,1,0,0
131,11/06/2004 11:48,383.6,383.6,383.6,383.6,2,0,0
132,11/06/2004 11:52,383.6,383.6,383.6,383.6,2,0,0
133,11/06/2004 11:54,383.6,383.8,383.6,383.6,3,0,0
134,11/06/2004 12:00,383.5,383.6,383.5,383.6,2,0,0
135,11/06/2004 12:02,383.6,383.6,383.6,383.6,1,0,0
136,11/06/2004 12:03,384.1,384.1,384.1,384.1,1,0,0
137,11/06/2004 12:06,383.6,383.6,383.6,383.6,2,0,0
138,11/06/2004 12:07,383.8,383.8,383.8,383.8,1,0,0
139,11/06/2004 12:08,383.6,383.6,383.6,383.6,2,0,0
140,11/06/2004 12:10,383.6,383.6,383.6,383.6,1,0,0
141,11/06/2004 12:11,383.6,383.6,383.6,383.6,1,0,0
142,11/06/2004 12:22,383.6,383.6,383.6,383.6,1,0,0
143,11/06/2004 12:26,383.5,383.5,383.5,383.5,1,0,0
144,11/06/2004 12:27,383.6,383.6,383.6,383.6,3,0,0
145,11/06/2004 12:30,383.6,383.6,383.6,383.6,1,0,0
146,11/06/2004 12:31,383.6,383.6,383.6,383.6,2,0,0
147,11/06/2004 12:32,383.6,383.6,383.6,383.6,1,0,0
148,11/06/2004 12:40,383.6,383.6,383.6,383.6,2,0,0
149,11/06/2004 12:47,383.8,383.8,383.8,383.8,1,0,0
150,11/06/2004 12:50,383.3,383.3,383.3,383.3,3,0,0
151,11/06/2004 12:53,383.3,383.3,383.3,383.3,1,0,0
152,11/06/2004 12:58,383.3,383.3,383.3,383.3,1,0,0
153,11/06/2004 13:02,383.6,383.6,383.6,383.6,1,0,0
154,11/06/2004 13:10,383.6,383.6,383.6,383.6,1,0,0
155,11/06/2004 13:13,383.6,383.6,383.6,383.6,1,0,0
156,11/06/2004 13:17,383.8,383.8,383.8,383.8,1,0,0
157,11/06/2004 13:18,383.8,383.8,383.8,383.8,1,0,0
158,11/06/2004 13:24,383.6,383.6,383.6,383.6,1,0,0
159,11/06/2004 13:27,383.8,383.8,383.8,383.8,1,0,0
160,11/06/2004 13:34,383.6,383.6,383.6,383.6,1,0,0
161,11/06/2004 13:37,384,384,383.8,383.8,2,0,0
162,11/06/2004 13:43,384.3,384.3,384.3,384.3,1,0,0
163,11/06/2004 13:49,384.1,384.3,384.1,384.3,2,0,0
164,11/06/2004 13:51,384.1,384.1,384.1,384.1,1,0,0
165,11/06/2004 13:53,384,384,384,384,1,0,0
166,11/06/2004 14:40,383.8,383.8,383.8,383.8,1,0,0
167,11/06/2004 14:41,383.8,383.8,383.8,383.8,1,0,0
168,11/06/2004 14:48,383.8,383.8,383.8,383.8,1,0,0
169,11/06/2004 14:53,383.8,383.8,383.8,383.8,1,0,0
170,11/06/2004 15:14,383.8,383.8,383.8,383.8,1,0,0
171,11/06/2004 15:19,384.1,384.1,384.1,384.1,1,0,0
172,11/06/2004 15:23,384.3,384.3,384.3,384.3,1,0,0
173,11/06/2004 15:30,384.3,384.3,384.3,384.3,1,0,0
174,11/06/2004 15:33,384.3,384.3,384.3,384.3,1,0,0
175,11/06/2004 15:35,384.1,384.1,384.1,384.1,1,0,0
176,11/06/2004 15:42,384.1,384.1,384.1,384.1,1,0,0
177,11/06/2004 15:48,384.6,384.6,384.6,384.6,1,0,0
178,11/06/2004 15:56,384.6,384.6,384.6,384.6,2,0,0
179,11/06/2004 16:09,384.3,384.3,384.3,384.3,1,0,0
180,11/06/2004 16:17,384.3,384.3,384.3,384.3,1,0,0
181,11/06/2004 16:22,384.1,384.1,384.1,384.1,1,0,0
182,11/06/2004 16:25,384.6,384.8,384.6,384.8,2,0,0
183,11/06/2004 16:26,384.6,384.6,384.6,384.6,1,0,0
184,11/06/2004 16:30,384.3,384.3,384.1,384.1,2,0,0
185,11/06/2004 16:35,384.3,384.3,384.3,384.3,1,0,0
186,11/06/2004 16:37,384.1,384.1,384.1,384.1,1,0,0
187,11/06/2004 16:41,384.3,384.3,384.3,384.3,1,0,0
188,11/06/2004 16:44,384.3,384.3,384.3,384.3,1,0,0
189,11/06/2004 16:45,384.3,384.3,384.3,384.3,1,0,0
190,11/06/2004 16:47,384.3,384.3,384.3,384.3,2,0,0
191,11/06/2004 16:50,384.3,384.3,384.3,384.3,1,0,0
192,11/06/2004 16:53,384.3,384.3,384.3,384.3,1,0,0
193,11/06/2004 16:55,384.1,384.1,384.1,384.1,1,0,0
194,11/06/2004 16:56,384.3,384.3,384.3,384.3,1,0,0
195,11/06/2004 16:58,384.3,384.3,384.3,384.3,1,0,0
196,11/06/2004 17:06,384.1,384.1,384.1,384.1,1,0,0
197,11/06/2004 17:16,384.1,384.1,384.1,384.1,1,0,0
198,11/06/2004 17:25,384.1,384.1,384.1,384.1,1,0,0
199,11/06/2004 17:31,384.3,384.3,384.3,384.3,1,0,0
200,11/06/2004 17:33,384.1,384.1,384.1,384.1,1,0,0
201,11/06/2004 17:57,383.8,383.8,383.8,383.8,1,0,0
202,11/06/2004 18:38,384.3,384.3,384.3,384.3,1,0,0
203,11/06/2004 18:41,384.3,384.3,384.3,384.3,1,0,0
204,11/06/2004 18:46,384.1,384.1,384.1,384.1,1,0,0
